"Date","Sales_Predicted"
2017-02-01,102261.254505245
2017-03-01,101135.050028882
2017-04-01,100021.24845652
2017-05-01,98919.7131948216
2017-06-01,97830.3091547532
2017-07-01,96752.9027350194
2017-08-01,95687.3618056771
2017-09-01,94633.5556919322
2017-10-01,93591.3551581136
2017-11-01,92560.6323918241
2017-12-01,91541.2609882663
2018-01-01,90533.1159347402
2018-02-01,89536.0735953124
2018-03-01,88550.0116956535
2018-04-01,87574.8093080429
2018-05-01,86610.3468365382
2018-06-01,85656.5060023091
2018-07-01,84713.1698291312
2018-08-01,83780.2226290408
2018-09-01,82857.5499881471
2018-10-01,81945.0387526011
2018-11-01,81042.5770147185
2018-12-01,80150.0540992556
2019-01-01,79267.3605498368
2019-02-01,78394.3881155306
2019-03-01,77531.0297375746
2019-04-01,76677.1795362459
2019-05-01,75832.7327978761
2019-06-01,74997.58596201
2019-07-01,74171.6366087049
2019-08-01,73354.7834459701
2019-09-01,72546.9262973449
2019-10-01,71747.9660896134
2019-11-01,70957.8048406541
2019-12-01,70176.3456474238
2020-01-01,69403.4926740739
